Cuvant,Locatii
Draw,"(Linia 57, Pozitia 2), (Linia 77, Pozitia 6), (Linia 81, Pozitia 11)"
Earth,"(Linia 318, Pozitia 5), (Linia 750, Pozitia 2), (Linia 753, Pozitia 7), (Linia 754, Pozitia 2), (Linia 758, Pozitia 11), (Linia 788, Pozitia 3), (Linia 789, Pozitia 8), (Linia 790, Pozitia 13), (Linia 810, Pozitia 10), (Linia 885, Pozitia 14), (Linia 886, Pozitia 8), (Linia 1037, Pozitia 3), (Linia 1094, Pozitia 6)"
Europe,"(Linia 766, Pozitia 6)"
European,"(Linia 158, Pozitia 8)"
Even,"(Linia 270, Pozitia 1), (Linia 271, Pozitia 3)"
France,"(Linia 10, Pozitia 5)"
Excuse,"(Linia 354, Pozitia 2)"
Exact,"(Linia 461, Pozitia 2)"
Exclaimed,"(Linia 506, Pozitia 10)"
Finished,"(Linia 543, Pozitia 6)"
Experts,"(Linia 988, Pozitia 10)"
Farewell,"(Linia 392, Pozitia 1), (Linia 394, Pozitia 1)"
Fifteen,"(Linia 550, Pozitia 15)"
Flowers,"(Linia 282, Pozitia 8)"
First,"(Linia 762, Pozitia 8)"
Five,"(Linia 550, Pozitia 7), (Linia 554, Pozitia 1), (Linia 555, Pozitia 7), (Linia 557, Pozitia 2), (Linia 576, Pozitia 2)"
Flies,"(Linia 568, Pozitia 2)"
For,"(Linia 178, Pozitia 8), (Linia 410, Pozitia 1), (Linia 432, Pozitia 1), (Linia 449, Pozitia 1), (Linia 508, Pozitia 1), (Linia 560, Pozitia 1), (Linia 615, Pozitia 4), (Linia 662, Pozitia 1), (Linia 1181, Pozitia 10), (Linia 1181, Pozitia 18), (Linia 1182, Pozitia 8), (Linia 1183, Pozitia 1), (Linia 1256, Pozitia 6)"
Fortunately,"(Linia 157, Pozitia 1)"
Fox,"(Linia 862, Pozitia 4)"
Go,"(Linia 409, Pozitia 12)"
France,"(Linia 255, Pozitia 17), (Linia 256, Pozitia 11), (Linia 257, Pozitia 2)"
From,"(Linia 831, Pozitia 1)"
Gently,"(Linia 1237, Pozitia 8)"
Geographies,"(Linia 734, Pozitia 1)"
Good,"(Linia 509, Pozitia 1), (Linia 549, Pozitia 1), (Linia 635, Pozitia 7), (Linia 655, Pozitia 8), (Linia 785, Pozitia 1), (Linia 786, Pozitia 1), (Linia 819, Pozitia 1), (Linia 820, Pozitia 1), (Linia 833, Pozitia 1), (Linia 845, Pozitia 1), (Linia 847, Pozitia 1), (Linia 863, Pozitia 1), (Linia 864, Pozitia 1)"
Go,"(Linia 937, Pozitia 1)"
God,"(Linia 561, Pozitia 16)"
Great,"(Linia 503, Pozitia 1)"
Good,"(Linia 962, Pozitia 1), (Linia 963, Pozitia 1), (Linia 983, Pozitia 1), (Linia 984, Pozitia 1)"
Goodbye,"(Linia 826, Pozitia 1), (Linia 952, Pozitia 1)"
Granite,"(Linia 810, Pozitia 9)"
Great,"(Linia 778, Pozitia 1)"
Grownups,"(Linia 33, Pozitia 13)"
He,"(Linia 10, Pozitia 12), (Linia 66, Pozitia 18), (Linia 76, Pozitia 5), (Linia 83, Pozitia 1), (Linia 86, Pozitia 1), (Linia 90, Pozitia 11), (Linia 103, Pozitia 1), (Linia 104, Pozitia 6), (Linia 122, Pozitia 7), (Linia 130, Pozitia 1), (Linia 150, Pozitia 11), (Linia 155, Pozitia 1), (Linia 191, Pozitia 10), (Linia 214, Pozitia 1), (Linia 224, Pozitia 18), (Linia 234, Pozitia 15), (Linia 266, Pozitia 4), (Linia 289, Pozitia 1), (Linia 291, Pozitia 1), (Linia 296, Pozitia 1), (Linia 296, Pozitia 6), (Linia 297, Pozitia 11), (Linia 297, Pozitia 16), (Linia 298, Pozitia 6), (Linia 298, Pozitia 10), (Linia 311, Pozitia 1), (Linia 313, Pozitia 12), (Linia 316, Pozitia 1), (Linia 316, Pozitia 6), (Linia 367, Pozitia 14), (Linia 373, Pozitia 1), (Linia 381, Pozitia 11), (Linia 382, Pozitia 2), (Linia 383, Pozitia 3), (Linia 384, Pozitia 2), (Linia 388, Pozitia 15), (Linia 397, Pozitia 1), (Linia 397, Pozitia 9), (Linia 398, Pozitia 4), (Linia 412, Pozitia 1), (Linia 412, Pozitia 16), (Linia 419, Pozitia 1), (Linia 431, Pozitia 1), (Linia 432, Pozitia 13), (Linia 433, Pozitia 3), (Linia 473, Pozitia 5), (Linia 502, Pozitia 1), (Linia 522, Pozitia 8), (Linia 535, Pozitia 8), (Linia 562, Pozitia 3), (Linia 658, Pozitia 2), (Linia 659, Pozitia 3), (Linia 675, Pozitia 1), (Linia 684, Pozitia 13), (Linia 690, Pozitia 1), (Linia 692, Pozitia 7), (Linia 702, Pozitia 8), (Linia 703, Pozitia 3), (Linia 749, Pozitia 8), (Linia 782, Pozitia 15), (Linia 806, Pozitia 1), (Linia 839, Pozitia 5), (Linia 849, Pozitia 6), (Linia 905, Pozitia 5), (Linia 985, Pozitia 1), (Linia 1004, Pozitia 1), (Linia 1007, Pozitia 1), (Linia 1007, Pozitia 8), (Linia 1017, Pozitia 8), (Linia 1021, Pozitia 1), (Linia 1021, Pozitia 4), (Linia 1055, Pozitia 1), (Linia 1064, Pozitia 8), (Linia 1093, Pozitia 7), (Linia 1106, Pozitia 6), (Linia 1130, Pozitia 15), (Linia 1138, Pozitia 7), (Linia 1139, Pozitia 20), (Linia 1144, Pozitia 1), (Linia 1152, Pozitia 1), (Linia 1157, Pozitia 1), (Linia 1165, Pozitia 8), (Linia 1177, Pozitia 1), (Linia 1205, Pozitia 13), (Linia 1210, Pozitia 10), (Linia 1211, Pozitia 9), (Linia 1221, Pozitia 1), (Linia 1230, Pozitia 1), (Linia 1233, Pozitia 9), (Linia 1235, Pozitia 1), (Linia 1235, Pozitia 10), (Linia 1236, Pozitia 11), (Linia 1237, Pozitia 2), (Linia 1237, Pozitia 6), (Linia 1248, Pozitia 7), (Linia 1253, Pozitia 17)"
I,"(Linia 7, Pozitia 1), (Linia 7, Pozitia 13), (Linia 8, Pozitia 7), (Linia 8, Pozitia 12), (Linia 9, Pozitia 8), (Linia 11, Pozitia 7), (Linia 12, Pozitia 15), (Linia 16, Pozitia 1), (Linia 17, Pozitia 2), (Linia 17, Pozitia 7)"
Her,"(Linia 852, Pozitia 6)"
Hello,"(Linia 550, Pozitia 14), (Linia 632, Pozitia 2), (Linia 633, Pozitia 8), (Linia 640, Pozitia 14), (Linia 669, Pozitia 6), (Linia 834, Pozitia 2), (Linia 834, Pozitia 4), (Linia 834, Pozitia 6)"
Hem,"(Linia 470, Pozitia 2), (Linia 470, Pozitia 3), (Linia 470, Pozitia 15), (Linia 489, Pozitia 2), (Linia 489, Pozitia 3)"
His,"(Linia 335, Pozitia 7)"
Here,"(Linia 18, Pozitia 16), (Linia 188, Pozitia 8), (Linia 416, Pozitia 2), (Linia 506, Pozitia 3), (Linia 683, Pozitia 1), (Linia 683, Pozitia 2), (Linia 790, Pozitia 1), (Linia 952, Pozitia 5)"
Hey,"(Linia 335, Pozitia 1), (Linia 555, Pozitia 2)"
Hum,"(Linia 430, Pozitia 3)"
Horror,"(Linia 356, Pozitia 1)"
How,"(Linia 114, Pozitia 1), (Linia 164, Pozitia 1), (Linia 164, Pozitia 5), (Linia 164, Pozitia 8), (Linia 164, Pozitia 14), (Linia 168, Pozitia 6), (Linia 340, Pozitia 2), (Linia 418, Pozitia 1), (Linia 592, Pozitia 1), (Linia 1142, Pozitia 2)"
However,"(Linia 591, Pozitia 1), (Linia 625, Pozitia 6), (Linia 626, Pozitia 6), (Linia 672, Pozitia 17), (Linia 1098, Pozitia 11)"
Humiliated,"(Linia 361, Pozitia 5)"
I,"(Linia 365, Pozitia 2)"
Im,"(Linia 186, Pozitia 15), (Linia 187, Pozitia 2), (Linia 338, Pozitia 2), (Linia 338, Pozitia 12)"
III,"(Linia 106, Pozitia 1)"
